location,name,freq,weighting,n_factors,date,ret
usa,accruals,monthly,ew,6,1965-04-30,-0.00279039065920115
usa,accruals,monthly,ew,6,1965-05-31,0.0084773485255269
usa,accruals,monthly,ew,6,1965-06-30,0.00393381983034846
usa,accruals,monthly,ew,6,1965-07-31,0.00310720295918129
usa,accruals,monthly,ew,6,1965-08-31,-0.0018892879219078
usa,accruals,monthly,ew,6,1965-09-30,-0.00207430846901824
usa,accruals,monthly,ew,6,1965-10-31,0.00252102216841026
usa,accruals,monthly,ew,6,1965-11-30,0.015452853665857
usa,accruals,monthly,ew,6,1965-12-31,-0.00291861138620082
usa,accruals,monthly,ew,6,1966-01-31,0.00723099874826521
usa,accruals,monthly,ew,6,1966-02-28,0.0188093886864857
usa,accruals,monthly,ew,6,1966-03-31,0.00570908048322926
usa,accruals,monthly,ew,6,1966-04-30,0.00101046903266055
usa,accruals,monthly,ew,6,1966-05-31,0.00223615740360762
usa,accruals,monthly,ew,6,1966-06-30,-0.00339920150686019
usa,accruals,monthly,ew,6,1966-07-31,0.00512933410164071
usa,accruals,monthly,ew,6,1966-08-31,-0.00241262552831592
usa,accruals,monthly,ew,6,1966-09-30,0.00839511513418889
usa,accruals,monthly,ew,6,1966-10-31,0.00146233616634334
usa,accruals,monthly,ew,6,1966-11-30,-0.00583952531003738
usa,accruals,monthly,ew,6,1966-12-31,-0.00393145221962214
usa,accruals,monthly,ew,6,1967-01-31,-0.00642787823336899
usa,accruals,monthly,ew,6,1967-02-28,0.0139648335943376
usa,accruals,monthly,ew,6,1967-03-31,-0.00905866081034477
usa,accruals,monthly,ew,6,1967-04-30,-0.00607084407678804
usa,accruals,monthly,ew,6,1967-05-31,0.0093356352276008
usa,accruals,monthly,ew,6,1967-06-30,-0.00713727315948594
usa,accruals,monthly,ew,6,1967-07-31,0.0101746573564559
usa,accruals,monthly,ew,6,1967-08-31,0.0133336183838053
usa,accruals,monthly,ew,6,1967-09-30,-0.0000952717092201847
usa,accruals,monthly,ew,6,1967-10-31,0.0039501907055805
usa,accruals,monthly,ew,6,1967-11-30,-0.00338449909060169
usa,accruals,monthly,ew,6,1967-12-31,0.0110105810004439
usa,accruals,monthly,ew,6,1968-01-31,0.0346720241042808
usa,accruals,monthly,ew,6,1968-02-29,0.0134141621990004
usa,accruals,monthly,ew,6,1968-03-31,0.000526556778460006
usa,accruals,monthly,ew,6,1968-04-30,-0.00693323035661508
usa,accruals,monthly,ew,6,1968-05-31,0.0039686717645804
usa,accruals,monthly,ew,6,1968-06-30,0.0159573130598312
usa,accruals,monthly,ew,6,1968-07-31,0.0229703993233867
usa,accruals,monthly,ew,6,1968-08-31,0.0233063020332157
usa,accruals,monthly,ew,6,1968-09-30,0.0107865108770375
usa,accruals,monthly,ew,6,1968-10-31,0.00273200820320143
usa,accruals,monthly,ew,6,1968-11-30,-0.00687780738871339
usa,accruals,monthly,ew,6,1968-12-31,0.013766857451582
usa,accruals,monthly,ew,6,1969-01-31,0.004031505300395
usa,accruals,monthly,ew,6,1969-02-28,0.00635618973107011
usa,accruals,monthly,ew,6,1969-03-31,-0.00126213430026267
usa,accruals,monthly,ew,6,1969-04-30,0.00416654812397638
usa,accruals,monthly,ew,6,1969-05-31,0.00508437553805662
usa,accruals,monthly,ew,6,1969-06-30,0.0084811593491604
usa,accruals,monthly,ew,6,1969-07-31,0.0104487934651444
usa,accruals,monthly,ew,6,1969-08-31,-0.0059667550125284
usa,accruals,monthly,ew,6,1969-09-30,0.00345732937715812
usa,accruals,monthly,ew,6,1969-10-31,-0.00985095854069717
usa,accruals,monthly,ew,6,1969-11-30,0.00686632550602089
usa,accruals,monthly,ew,6,1969-12-31,-0.00199584803180613
usa,accruals,monthly,ew,6,1970-01-31,0.0216822035473648
usa,accruals,monthly,ew,6,1970-02-28,-0.000336148062742058
usa,accruals,monthly,ew,6,1970-03-31,0.0347691679398616
usa,accruals,monthly,ew,6,1970-04-30,0.0370400793112926
usa,accruals,monthly,ew,6,1970-05-31,0.0163064724884516
usa,accruals,monthly,ew,6,1970-06-30,0.0180965897228608
